codigo_sucursal ,codigo_cliente ,ciudad                          ,provincia    ,estado ,nombre_cliente ,cuit     ,razon_social ,direccion    ,dias_visita ,telefono     ,fecha_alta ,fecha_baja ,lat                 ,long                ,condicion_venta ,deuda_vencida ,tipo_negocio
            127 ,          7811 ,Bahía Blanca                    ,Buenos Aires ,A      ,Cliente_1      ,51542405 ,Empresa_1    ,Dirección_1  ,JU          ,264-948-3695 ,2024-03-09 ,2024-06-20 ,-38.75604710165537  ,-62.26625655561489  ,CEX             ,        44.47 ,TEA
            127 ,          9466 ,Córdoba                         ,Córdoba      ,A      ,Cliente_2      ,94108171 ,Empresa_2    ,Dirección_2  ,MA          ,753-782-9733 ,2024-05-28 ,2024-09-25 ,-31.44976508039187  ,-64.14263178542583  ,CEX             ,        42.01 ,HOTEL
            155 ,          9890 ,Godoy Cruz                      ,Mendoza      ,A      ,Cliente_3      ,52793240 ,Empresa_3    ,Dirección_3  ,MI          ,916-669-2901 ,2024-04-23 ,2024-07-01 ,-32.9686107228655   ,-68.88177248550181  ,CEX             ,       314.63 ,SHOPPING
            127 ,          2983 ,Venado Tuerto                   ,Santa Fe     ,A      ,Cliente_4      ,54725658 ,Empresa_4    ,Dirección_4  ,VI          ,778-890-3367 ,2024-04-27 ,2024-06-12 ,-33.681786637648784 ,-61.93862135037048  ,CEX             ,       898.69 ,RESTAURANTE
            127 ,          5549 ,Jesús María                     ,Córdoba      ,A      ,Cliente_5      ,50891418 ,Empresa_5    ,Dirección_5  ,MI          ,819-344-4575 ,2024-05-09 ,2024-09-25 ,-30.949202420291687 ,-64.08898593002023  ,EFE             ,       124.48 ,KIOSCO
            127 ,          5689 ,Maipú                           ,Mendoza      ,A      ,Cliente_6      ,63806108 ,Empresa_6    ,Dirección_6  ,VI          ,136-354-5418 ,2024-03-24 ,2024-09-16 ,-33.00330011142168  ,-68.82769620770843  ,CEX             ,       305.96 ,HOTEL
            127 ,          7615 ,Ciudad de Santa Fe              ,Santa Fe     ,A      ,Cliente_7      ,16426913 ,Empresa_7    ,Dirección_7  ,VI          ,468-205-8487 ,2024-04-04 ,2024-06-19 ,-31.616189528710322 ,-60.672456533592126 ,CEX             ,       156.52 ,SHOPPING
            163 ,          6850 ,Rafaela                         ,Santa Fe     ,A      ,Cliente_8      ,11115682 ,Empresa_8    ,Dirección_8  ,VI          ,912-301-7709 ,2024-04-23 ,2024-08-08 ,-31.213731813094252 ,-61.44392059986149  ,CEX             ,       477.16 ,HOTEL
            127 ,          9673 ,Luján de Cuyo                   ,Mendoza      ,A      ,Cliente_9      ,31564580 ,Empresa_9    ,Dirección_9  ,JU          ,906-410-3252 ,2024-05-18 ,2024-07-01 ,-32.996859932104925 ,-68.8366931217928   ,CEX             ,        68.64 ,TEA
            127 ,          3146 ,Ciudad Autónoma de Buenos Aires ,Buenos Aires ,A      ,Cliente_10     ,21524401 ,Empresa_10   ,Dirección_10 ,DO          ,611-299-2665 ,2024-03-24 ,2024-09-18 ,-34.56244142782925  ,-58.39370897324999  ,CEX             ,       728.92 ,TEA
            155 ,         10062 ,San Miguel de Tucumán           ,Tucumán      ,A      ,Cliente_11     ,26376754 ,Empresa_11   ,Dirección_11 ,JU          ,211-854-5148 ,2024-03-02 ,2024-06-02 ,-26.819360021989695 ,-65.2109747374092   ,EFE             ,       538.0  ,ESTACION SERVICIO
            127 ,          7890 ,Mar del Plata                   ,Buenos Aires ,A      ,Cliente_12     ,49849151 ,Empresa_12   ,Dirección_12 ,MA          ,187-466-6761 ,2024-03-03 ,2024-07-23 ,-37.97206267205674  ,-57.59424694950462  ,EFE             ,       228.35 ,TEA
            163 ,          4563 ,Córdoba                         ,Córdoba      ,A      ,Cliente_13     ,44957249 ,Empresa_13   ,Dirección_13 ,SA          ,880-568-6432 ,2024-04-06 ,2024-08-27 ,-31.390515912286574 ,-64.21537245222918  ,EFE             ,        47.56 ,MAYORISTA
            127 ,          6867 ,Río Cuarto                      ,Córdoba      ,A      ,Cliente_14     ,14871880 ,Empresa_14   ,Dirección_14 ,SA          ,251-164-7265 ,2024-05-03 ,2024-06-09 ,-33.17381443524653  ,-64.29467817365163  ,EFE             ,       419.83 ,GROCERY
            127 ,          6487 ,San Miguel de Tucumán           ,Tucumán      ,A      ,Cliente_15     ,10492632 ,Empresa_15   ,Dirección_15 ,MI          ,246-190-1286 ,2024-03-27 ,2024-09-24 ,-26.78032413429085  ,-65.26621353147088  ,EFE             ,       945.26 ,AIRPORT
            163 ,          1886 ,Godoy Cruz                      ,Mendoza      ,A      ,Cliente_16     ,81939544 ,Empresa_16   ,Dirección_16 ,MA          ,280-787-6579 ,2024-04-19 ,2024-09-16 ,-32.90091321111977  ,-68.89807551153916  ,EFE             ,       201.69 ,KIOSCO
            127 ,          2788 ,San Martín                      ,Buenos Aires ,A      ,Cliente_17     ,97408614 ,Empresa_17   ,Dirección_17 ,JU          ,318-477-1352 ,2024-04-17 ,2024-09-17 ,-34.51407619872326  ,-58.56159601223685  ,CEX             ,       596.13 ,RESTAURANTE
            163 ,          4586 ,Aguilares                       ,Tucumán      ,A      ,Cliente_18     ,89570794 ,Empresa_18   ,Dirección_18 ,MI          ,722-261-2503 ,2024-04-18 ,2024-09-29 ,-27.469984179780013 ,-65.61815912904272  ,EFE             ,        48.26 ,RESTAURANTE
            163 ,          1262 ,Godoy Cruz                      ,Mendoza      ,A      ,Cliente_19     ,90950515 ,Empresa_19   ,Dirección_19 ,DO          ,368-297-8914 ,2024-03-24 ,2024-08-02 ,-32.94205307942069  ,-68.87125911894358  ,EFE             ,       300.25 ,ESTACION SERVICIO
            127 ,          7802 ,Jesús María                     ,Córdoba      ,A      ,Cliente_20     ,22523892 ,Empresa_20   ,Dirección_20 ,LU          ,339-741-8932 ,2024-04-27 ,2024-07-07 ,-30.972063820004156 ,-64.05233775357931  ,CEX             ,       717.11 ,TEA
