codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio
258,8066,Córdoba,Córdoba,I,Cliente_1,83856003,Empresa_1,Dirección_1,MI,193-492-3410,2024-05-11,2024-07-26,-31.415508409877823,-64.18690372065163,EFE,66.35,SHOPPING
259,5896,Banda del Río Salí,Tucumán,A,Cliente_2,48512008,Empresa_2,Dirección_2,MA,961-738-9245,2024-04-14,2024-07-04,-26.88675644258429,-65.17681912907526,CEX,155.61,ESTACION SERVICIO
266,3465,San Martín,Buenos Aires,A,Cliente_3,35403149,Empresa_3,Dirección_3,SA,518-700-1545,2024-03-31,2024-06-16,-34.52695354543225,-58.537245817585344,EFE,507.62,TEA
259,7562,Mar del Plata,Buenos Aires,A,Cliente_4,99576216,Empresa_4,Dirección_4,MI,405-854-6796,2024-03-11,2024-08-11,-37.97675978586473,-57.57966554392125,EFE,176.41,RESTAURANTE
259,4236,Luján de Cuyo,Mendoza,A,Cliente_5,15106202,Empresa_5,Dirección_5,JU,541-491-5721,2024-03-03,2024-09-25,-32.986296498122314,-68.88132477946385,CEX,336.75,MAYORISTA
258,9742,San Martín,Buenos Aires,A,Cliente_6,62936737,Empresa_6,Dirección_6,DO,875-412-3107,2024-05-07,2024-08-05,-34.55629758429608,-58.52257572527781,EFE,51.21,MAYORISTA
266,9106,Rafaela,Santa Fe,A,Cliente_7,23485089,Empresa_7,Dirección_7,JU,590-945-7009,2024-05-15,2024-07-10,-31.27510379194425,-61.47858324255666,CEX,828.09,GROCERY
266,6293,Ciudad de Santa Fe,Santa Fe,I,Cliente_8,37744679,Empresa_8,Dirección_8,JU,534-232-5270,2024-05-23,2024-07-17,-31.61827899659824,-60.697696340935565,EFE,528.96,SHOPPING
258,8861,San Francisco,Córdoba,A,Cliente_9,47990446,Empresa_9,Dirección_9,LU,137-839-8259,2024-05-15,2024-09-01,-31.379161152809484,-62.04683776932312,EFE,682.32,AIRPORT
259,5665,San Miguel de Tucumán,Tucumán,I,Cliente_10,50957895,Empresa_10,Dirección_10,VI,799-441-9570,2024-05-05,2024-09-10,-26.868061464062258,-65.24818433099291,EFE,344.12,TEA
266,9898,Tafí Viejo,Tucumán,I,Cliente_11,40637768,Empresa_11,Dirección_11,LU,895-320-6227,2024-03-20,2024-09-09,-26.6923328504216,-65.28073938762438,EFE,387.51,AIRPORT
258,6187,Banda del Río Salí,Tucumán,A,Cliente_12,42952784,Empresa_12,Dirección_12,LU,196-872-8775,2024-04-28,2024-07-16,-26.81235077040389,-65.12317690668151,CEX,666.48,AIRPORT
258,9006,Ciudad de Santa Fe,Santa Fe,A,Cliente_13,22664144,Empresa_13,Dirección_13,MA,998-173-5803,2024-04-09,2024-06-22,-31.624246516267963,-60.72025234964727,EFE,824.69,KIOSCO
259,4915,Banda del Río Salí,Tucumán,I,Cliente_14,34025831,Empresa_14,Dirección_14,LU,766-903-3137,2024-03-31,2024-09-16,-26.861691017566102,-65.13861673139965,CEX,138.0,KIOSCO
266,5178,Villa María,Córdoba,I,Cliente_15,61584108,Empresa_15,Dirección_15,LU,850-183-6852,2024-05-10,2024-09-05,-32.370173889551694,-63.24616206198836,EFE,715.08,HOTEL
266,8638,Ciudad de Santa Fe,Santa Fe,A,Cliente_16,16054896,Empresa_16,Dirección_16,SA,513-904-7407,2024-05-23,2024-07-25,-31.610402470786724,-60.752435186460104,EFE,160.06,SHOPPING
259,5599,Ciudad de Santa Fe,Santa Fe,A,Cliente_17,76425842,Empresa_17,Dirección_17,SA,210-749-1596,2024-04-25,2024-09-29,-31.654707716372194,-60.68554870150613,EFE,644.23,AIRPORT
258,6896,San Rafael,Mendoza,A,Cliente_18,46221556,Empresa_18,Dirección_18,VI,981-844-9622,2024-04-13,2024-08-27,-34.582801971191145,-68.3671756964464,EFE,763.7,RESTAURANTE
258,3699,Río Cuarto,Córdoba,I,Cliente_19,47997045,Empresa_19,Dirección_19,VI,796-350-9141,2024-05-22,2024-06-18,-33.17142668501021,-64.30154674700941,EFE,171.03,MAYORISTA
266,8692,Río Cuarto,Córdoba,A,Cliente_20,60929407,Empresa_20,Dirección_20,DO,113-587-1559,2024-05-06,2024-09-24,-33.125957655910305,-64.30554790991914,CEX,330.67,RESTAURANTE
